Last Name, First Name, Middle Name, Position, Begin Date, End Date
Monson, Thomas, Spencer, President of The Church of Jesus Christ of Latter-day Saints, 2008-02-03,
Monson, Thomas, Spencer, President of the Quorum of the Twelve Apostles, 1995-03-12, 2008-02-03
Monson, Thomas, Spencer, First Counselor in the First Presidency, 1995-03-12, 2008-01-27
Monson, Thomas, Spencer, Second Counselor in the First Presidency, 1985-11-10, 1995-03-03
Monson, Thomas, Spencer, Quorum of the Twelve Apostles, 1963-10-04, 1985-11-10
Hinckley, Gordon, Bitner, President of The Church of Jesus Christ of Latter-day Saints, 1995-03-12, 2008-01-27
Hinckley, Gordon, Bitner, President of the Quorum of the Twelve Apostles, 1994-06-05, 1995-03-12
Hinckley, Gordon, Bitner, First Counselor in the First Presidency, 1994-06-05, 1995-03-03
Hinckley, Gordon, Bitner, First Counselor in the First Presidency, 1985-11-10, 1994-06-05
Hinckley, Gordon, Bitner, Second Counselor in the First Presidency, 1982-12-02, 1985-11-05
Hinckley, Gordon, Bitner, Counselor in the First Presidency, 1981-07-23, 1982-12-02
Hinckley, Gordon, Bitner, Quorum of the Twelve Apostles, 1961-10-05, 1981-07-23
Hinckley, Gordon, Bitner, Assistant to the Quorum of the Twelve Apostles, 1958-04-06, 1961-10-05
Hunter, Howard, William, President of The Church of Jesus Christ of Latter-day Saints, 1994-06-05, 1995-03-03
Hunter, Howard, William, President of the Quorum of the Twelve Apostles, 1988-05-20, 1994-06-05
Hunter, Howard, William, Acting President of the Quorum of the Twelve Apostles, 1985-11-10, 1988-05-20
Hunter, Howard, William, Quorum of the Twelve Apostles, 1959-10-10, 1994-06-05
Benson, Ezra, Taft, President of The Church of Jesus Christ of Latter-day Saints, 1985-11-10, 1994-05-30
Benson, Ezra, Taft, President of the Quorum of the Twelve Apostles, 1973-12-30, 1985-11-10
Benson, Ezra, Taft, Quorum of the Twelve Apostles, 1943-10-07, 1985-11-10